OTUs,P-Value
OTU00589,0.028015401
OTU06543,0.028000537
OTU01848,0.083165819
OTU03408,0.025345469
OTU01374,0.014014178
OTU04145,0.0108786
OTU02457,0.027305773
OTU03373,0.012775179
OTU03396,0.029332877
OTU02625,0.010439675
OTU00424,0.013732822
OTU03683,0.028984043
OTU03862,0.006503468
OTU01356,0.029969876
OTU01453,0.008383257
OTU02456,0.020417589
OTU02858,0.029449814
OTU01173,0.119647719
OTU00947,0.019202139
OTU03024,0.024115968
OTU01575,0.018325519
OTU02009,0.219112325
OTU06221,0.407398761
OTU00580,0.072778022
OTU01700,0.012096416
OTU01345,0.048727351
OTU00868,0.02369462
OTU05457,0.031770373
OTU00080,0.088557391
OTU02869,0.144020497
OTU01339,0.138000802
OTU02925,0.017458057
OTU02318,0.145201576
OTU01399,0.074723201
OTU00657,0.015971347
OTU03768,0.015068677
OTU02508,0.018591075
OTU01719,0.038271472
OTU02331,0.010770861
OTU04119,0.009581643
OTU03097,0.126712628
OTU04258,0.026380043
OTU01183,0.031687119
OTU02702,0.009034017
OTU03204,0.259936753
OTU00845,0.01923056
OTU04791,0.039206045
OTU03806,0.026527045
OTU04326,0.00905305
OTU02528,0.061990308
OTU06861,0.026702432
OTU01523,0.077788374
OTU01110,0.779076328
OTU03434,0.000307215
OTU02750,0.024682526
OTU01502,0.052475559
OTU02495,0.080601122
OTU06892,0.030269466
OTU03118,0.090749183
OTU00854,0.029679798
OTU04517,0.006155349
OTU02856,0.032568168
OTU02815,0.174613613
OTU03149,0.056630427
OTU04256,0.019598203
OTU00414,0.023822476
OTU02988,0.254689316
OTU02483,0.052318383
OTU02235,0.020313739
OTU01734,0.137750484
OTU02557,0.129499185
OTU03402,0.158814207
OTU00994,0.238915016
OTU06166,0.143857344
OTU03341,0.263559425
OTU03642,0.275571518
OTU03968,0.022777568
OTU03303,0.299998734
OTU02809,0.378356615
OTU02196,0.164680237
OTU03664,0.41407825
OTU00881,0.403228187
OTU04856,0.233704311
OTU00636,0.090382018
OTU01031,0.048806859
OTU03250,0.056621123
OTU00685,0.021486304
OTU05486,0.007436042
OTU06516,0.047379109
OTU05082,#N/A
OTU02647,0.044942952
OTU04166,0.019370047
OTU06590,0.044269544
OTU01317,0.012969062
OTU01227,0.110277228
OTU00687,0.198583267
OTU02926,0.217243809
OTU06225,0.752668487
OTU00294,0.021119067
OTU02536,0.09676039
